Designator,Footprint,Quantity,Value,LCSC Part #
SW40,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D9,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW24,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D34,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW9,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW15,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW45,MXOnly-2U-ReversedStabilizers-NoLED,1,SW_Push_45deg,
D40,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D10,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D26,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
J1,USB_C_Receptacle_GCT_USB4085,1,USB,
C3,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,20pF,
SW32,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
OLED1,PinSocket_1x04_P2.54mm_Vertical,1,OLED,
D8,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D32,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D33,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,75,
SW18,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,2.2K,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
SW27,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW34,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D37,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW31,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D42,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW12,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW43,MXOnly-2U-ReversedStabilizers-NoLED,1,SW_Push_45deg,
D20,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW16,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW38,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D11,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D31,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D2,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4729,
U1,DIP-28_W7.62mm,1,ATmega328-P,
SW21,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW3,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D18,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
F1,Fuse_BelFuse_0ZRE0025FF_L9.6mm_W3.8mm,1,500mA,
D21,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D35,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW39,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW5,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D4,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,75,
D25,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW20,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D16,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW19,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW33,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW6,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
MX1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,EC11,
D7,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW7,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW13,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
SW41,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D44,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4004,
D12,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW17,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D22,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW1,SW_PUSH_6mm_H5mm,1,RESET,
SW37,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
D5,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D19,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D27,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D6,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
SW35,SW_Cherry_MX_1.00u_PCB,1,SW_Push_45deg,
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,0.1uF,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,5.1K,
